INSERT INTO City (Name) 
VALUES
('Zagreb'),
('Split'),
('Rijeka'),
('Osijek'),
('Zadar'),
('Dubrovnik'),
('Pula'),
('Šibenik'),
('Varaždin'),
('Karlovac'),
('Berlin'),
('Munchen'),
('Hamburg'),
('Frankfurt'),
('Köln');

insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Riverside', 15, 6, '10:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Mountain', 4, 46, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Noodle Bar Cielo', 5, 48, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Cielo', 11, 21, '10:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Forest', 12, 21, '12:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Mountain', 7, 50, '12:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Haven', 12, 6, '10:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Milano', 7, 35, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Hill', 2, 25, '12:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Pineapple', 15, 45, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Milano', 12, 18, '12:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge Milano', 6, 30, '12:00:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Beach', 5, 27, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Bayou', 1, 31, '10:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Springs', 5, 15, '12:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Toscana', 6, 41, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Verona', 12, 28, '12:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Noodle Bar Tuscany', 10, 29, '12:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Violet', 12, 41, '11:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Pineapple', 8, 26, '12:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria London', 15, 22, '11:30:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Taco Violet', 14, 33, '11:30:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Vino', 8, 8, '12:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Oasis', 2, 26, '11:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Cedar', 12, 15, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Mountain', 13, 46, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Cloud', 11, 13, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Cielo', 3, 9, '12:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Toscana', 4, 49, '11:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Forest', 1, 36, '10:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge Alley', 8, 50, '11:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Hill', 14, 7, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Haven', 10, 30, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Cloud', 8, 18, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Bay', 11, 50, '11:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Orchard', 13, 35, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cantina Pine', 1, 35, '12:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Roma', 13, 18, '12:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Paris', 14, 12, '10:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Wood', 7, 9, '11:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Ocean', 1, 18, '12:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Park', 2, 23, '10:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Taco Sunset', 1, 41, '12:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Grill Riverside', 4, 41, '10:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Tuscany', 8, 49, '12:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Mandala', 9, 47, '11:30:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Cielo', 15, 7, '11:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Pine', 9, 46, '12:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Tuscany', 3, 25, '10:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Ocean', 11, 50, '10:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Vino', 15, 35, '11:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Lagoon', 11, 45, '10:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Meadow', 11, 23, '11:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Pineapple', 4, 35, '10:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Paris', 4, 8, '11:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Grill Tuscany', 9, 50, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Roma', 1, 44, '11:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Savannah', 2, 24, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery River', 13, 42, '11:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Dorado', 11, 5, '10:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Orchard', 8, 12, '11:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge Fusion', 3, 27, '12:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Tuscany', 15, 41, '12:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Haven', 6, 21, '11:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Mountain', 1, 12, '11:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('BBQ Forest', 1, 31, '10:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Pine', 15, 12, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cantina Park', 4, 43, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Paris', 4, 14, '11:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Park', 3, 49, '12:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Haven', 8, 30, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Taco Alley', 8, 16, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Harvest', 13, 39, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Milano', 11, 26, '11:00:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Lagoon', 15, 48, '12:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Wood', 15, 12, '12:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Milano', 1, 48, '12:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Taco Lagoon', 3, 50, '10:00:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Forest', 4, 36, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Mandala', 9, 7, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Star', 11, 40, '11:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Pineapple', 7, 13, '12:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro London', 2, 41, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Palazzo', 1, 7, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Fusion', 5, 7, '12:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Noodle Bar Star', 11, 7, '10:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Sunset', 4, 31, '10:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Star', 4, 37, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Pine', 1, 45, '10:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Noodle Bar Vino', 1, 41, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Harvest', 10, 15, '12:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Pine', 8, 35, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Savannah', 3, 25, '12:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Palazzo', 7, 36, '12:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Sierra', 4, 47, '12:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Wood', 12, 18, '11:00:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Bayou', 7, 10, '12:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Hill', 1, 24, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Paris', 13, 44, '12:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Grill Mountain', 8, 49, '10:00:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Noodle Bar London', 3, 27, '10:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Verde', 9, 47, '11:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Alley', 14, 13, '10:00:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Oasis', 7, 6, '10:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Noodle Bar Oasis', 2, 11, '10:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Pueblo', 14, 25, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Ocean', 3, 43, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria Beach', 15, 20, '10:30:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Milano', 12, 12, '10:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Bayou', 13, 14, '11:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Vino', 1, 20, '12:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Tavern Meadow', 2, 24, '11:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Star', 4, 8, '10:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Mandala', 4, 26, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Cedar', 12, 21, '10:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Cafe Pine', 7, 17, '11:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Palazzo', 7, 9, '12:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Sunshine', 8, 28, '12:30:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Cielo', 12, 32, '12:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Harvest', 3, 9, '12:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brewery Pueblo', 10, 20, '10:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('BBQ Tuscany', 1, 50, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge River', 5, 26, '12:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Tavern Sunshine', 4, 32, '10:30:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('BBQ Pine', 10, 29, '10:00:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge Roma', 7, 11, '11:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Lounge Cloud', 12, 35, '10:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Diner Springs', 10, 5, '11:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Cielo', 7, 16, '10:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Bistro', 4, 42, '10:00:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Sierra', 12, 24, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Sunset', 12, 10, '11:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pub Verona', 9, 42, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Cedar', 12, 33, '11:30:00', '22:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Trattoria London', 10, 29, '11:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Steakhouse Cielo', 3, 26, '12:30:00', '22:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Springs', 8, 13, '11:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Brasserie Haven', 1, 40, '10:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Palazzo', 7, 48, '10:30:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Dorado', 14, 33, '12:30:00', '23:30:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Haven', 14, 19, '12:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Pizzeria Pine', 4, 11, '12:30:00', '22:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Restaurant Garden', 2, 46, '11:00:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Tavern Paris', 13, 23, '10:30:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Ristorante Bay', 4, 18, '10:30:00', '23:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Sushi Vista', 4, 50, '10:00:00', '23:00:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro Tuscany', 4, 46, '11:30:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Verona', 1, 49, '10:00:00', '22:30:00', true);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bistro London', 5, 48, '12:00:00', '23:00:00', false);
insert into restaurant (name, CityId, NumberOfTables, OpeningTime, ClosingTime, hasdelivery) values ('Bakery Mandala', 10, 11, '12:30:00', '22:00:00', true);
