CityId,name
286,Březová
287,Jiamachi
288,Huaidian
289,Odivelas
290,Phú Mỹ
291,Santa Lucía Cotzumalguapa
292,Pereira
293,Paris La Défense
294,Qidi
295,Kawambwa
296,Linëvo
297,Issa
298,Garden Grove
299,Cartagena
300,Freire
301,Nova Odessa
302,Beiwa
303,Wodzisław Śląski
304,Umm as Summāq
305,Pawonków
306,Hova
307,Roberval
308,Mertzig
309,Kabanga
310,Thị Trấn Cao Phong
311,Trudobelikovskiy
312,Komsomolets
313,Kaizuka
314,Mourelos
315,Kalinovskoye
316,Jiaozuo
317,Jatipamor
318,Daraitan
319,Jinquan
320,Guanta
321,Ganpu
322,Birni N Konni
323,Landskrona
324,Aldeia de Além
325,Piggs Peak
326,San Juan
327,Örnsköldsvik
328,Vereya
329,Jingzhou
330,Santo Antônio do Içá
331,Ocoyo
332,Doko
333,Cibeureum Kidul
334,Ushuaia
335,Fastovetskaya
336,Landskrona
337,Sukarame
338,Vohibinany
339,Osieczna
340,Pittsburgh
341,Nusaherang
342,Castlerea
343,Bijie
344,Khanabad
345,Yong’an
346,Ilha Solteira
347,Tchoban Bey
348,Pinggan
349,Nanterre
350,Banjar Bengkelgede
351,Hod HaSharon
352,Niandou
353,Ribnica na Pohorju
354,Ad Dilam
355,Lacabamba
356,Villa Constitución
357,Plomárion
358,Shuangxiqiao
359,Sinazongwe
360,Dongtian
361,Ipaba
362,Sumurgayam
363,Yihe
364,Fundão
365,Barkā’
366,Bahía Blanca
367,Baláo
368,São Bento
369,Pucheng
370,Zhangqing
371,Xichang
372,Slavgorod
373,Pavlodol’skaya
374,Palalang
375,Xinmin
376,Ribeiro
377,Lloqan
378,Kamalaputi
379,Ruše
380,Weepangali
381,Gayam
382,Bellevue
383,Kanlagay
384,Erhaodi
385,Urazovka
386,Zhangping
387,Beidu
388,Mingelchaur
389,Staroshcherbinovskaya
390,Weifen
391,Azaruja
392,Karanglo
393,Ketawang
394,Xintang
395,Jiangtian
396,Bilaran
397,Villanueva
398,Jōetsu
399,Mueang Suang
400,Brampton
401,Kup
402,Laiponda
403,Villanueva
404,Valejas
405,Sanjiao
406,Dengfeng
407,Arlöv
408,Des Moines
409,Zhuangbu
410,Ké-Macina
411,Xuefeng
412,Lebedyn
413,G’uzor
414,Bureng
415,Dar Chabanne
416,Qingshui
417,Severomorsk
418,Qindu
419,Czerniewice
420,Matabao
421,Chashnikovo
422,Santa Catalina - Dique Lujan
423,Hua Hin
424,Mendefera
425,Kalávryta
426,Lolodorf
427,Yangliu
428,Guebwiller
429,Palaiomonástiron
430,Sydney South
431,Yaxi
432,Wanxian
433,Kiiminki
434,Colca
435,Terjan
436,Chŏngju
437,Sabana Grande
438,Takefu
439,Jequié
440,Tuopu Luke
441,Midrand
442,Teno
443,Gurung
444,Ostrogozhsk
445,Hexi
446,Porvoo
447,Cilangkap
448,Baborów
449,Kostomuksha
450,Navatat
451,Severoural’sk
452,Bual
453,Lipiany
454,Mayong
455,Ras al-Khaimah
456,Gaobu
457,Ljungskile
458,San Buenaventura
459,Chodová Planá
460,Toki
461,Blangkejeren
462,Huangmei
463,Vinhas
464,Basqal
465,Xiaofayi
466,Amiens
467,Itatuba
468,Cihurip Satu
469,Kuala Terengganu
470,Troparëvo
471,Bayantal
472,Avdzaga
473,Devitsa
474,Kotes
475,Sop Moei
476,Shiogama
477,Wan Yai
478,Washington
479,Gangkoujie
480,Baimangpu
481,Cantuk Kidul
482,Biito
483,Dahuang
484,Meiyuan
485,Jiading
486,Ínfias
487,Dolní Sloupnice
488,Ra-ngae
489,Xihuachi
490,København
491,Shuangshi
492,Nan
493,Tayginka
494,Waepana
495,Żarnów
496,Boavista
497,Bella Vista
498,Independencia
499,‘Ayn Ḩalāqīm
500,Mabayo
